Date,Close
29/7/2016,142.15
28/7/2016,140.15
27/7/2016,137.45
26/7/2016,131.15
25/7/2016,133.45
22/7/2016,131.5
21/7/2016,131.8
20/7/2016,133.85
19/7/2016,130.05
18/7/2016,129.95
15/7/2016,132.6
14/7/2016,132.6
13/7/2016,132.15
12/7/2016,132.9
11/7/2016,133.1
8/7/2016,132.6
7/7/2016,134.45
5/7/2016,133.9
4/7/2016,134.1
1/7/2016,134.9
30/6/2016,131.2
29/6/2016,129.7
28/6/2016,127.85
27/6/2016,125.95
24/6/2016,124.25
23/6/2016,126.75
22/6/2016,127.25
21/6/2016,125.45
20/6/2016,126.15
17/6/2016,125.7
16/6/2016,126.1
15/6/2016,127
14/6/2016,126.5
13/6/2016,128.15
10/6/2016,123.65
9/6/2016,124.95
8/6/2016,124.4
7/6/2016,119.35
6/6/2016,119.3
3/6/2016,120.2
2/6/2016,119.25
1/6/2016,118.05
31/5/2016,117.75
30/5/2016,117.95
27/5/2016,117.3
26/5/2016,118.6
25/5/2016,119.5
24/5/2016,121.75
23/5/2016,120.4
20/5/2016,120.05
19/5/2016,119.95
18/5/2016,120.95
17/5/2016,120.35
16/5/2016,120.65
13/5/2016,119.55
12/5/2016,118.95
11/5/2016,117.3
10/5/2016,118.2
9/5/2016,118.75
6/5/2016,118.1
5/5/2016,116.35
4/5/2016,116.95
3/5/2016,119.45
2/5/2016,121.1
29/4/2016,120.05
28/4/2016,120.3
27/4/2016,122.4
26/4/2016,121.8
25/4/2016,121.2
22/4/2016,120.25
21/4/2016,120.1
20/4/2016,121.85
18/4/2016,120
13/4/2016,120.65
12/4/2016,118.35
11/4/2016,119.5
8/4/2016,117.7
7/4/2016,118.7
6/4/2016,118.85
5/4/2016,118.25
4/4/2016,121.2
1/4/2016,122.55
31/3/2016,121.25
30/3/2016,121.4
29/3/2016,119.3
28/3/2016,119.4
23/3/2016,119.45
22/3/2016,121.4
21/3/2016,119.9
18/3/2016,118.9
17/3/2016,115.8
16/3/2016,115.1
15/3/2016,115.45
14/3/2016,115.65
11/3/2016,115.85
10/3/2016,116.45
9/3/2016,116.85
8/3/2016,115.65
4/3/2016,113.25
3/3/2016,109.5
2/3/2016,109.9
1/3/2016,108.9
29/2/2016,103.55
26/2/2016,104.75
25/2/2016,106.2
24/2/2016,106.7
23/2/2016,106.65
22/2/2016,109.1
19/2/2016,107.3
18/2/2016,104.55
17/2/2016,104
16/2/2016,102.65
15/2/2016,106
12/2/2016,104.3
11/2/2016,105.25
10/2/2016,118.35
9/2/2016,120.75
8/2/2016,123.9
5/2/2016,122.5
4/2/2016,121.6
3/2/2016,121.75
2/2/2016,124.25
1/2/2016,126.6
29/1/2016,126.5
28/1/2016,123.15
27/1/2016,124.45
25/1/2016,124.3
22/1/2016,125.55
21/1/2016,121.75
20/1/2016,122.55
19/1/2016,126.4
18/1/2016,121.85
15/1/2016,128.5
14/1/2016,134.05
13/1/2016,135.6
12/1/2016,139.5
11/1/2016,141.9
8/1/2016,144.45
7/1/2016,140.05
6/1/2016,145.25
5/1/2016,148.35
4/1/2016,143.7
1/1/2016,146.4
31/12/2015,146.2
30/12/2015,146.35
29/12/2015,141.9
28/12/2015,144.05
24/12/2015,144.8
23/12/2015,142
22/12/2015,141.2
21/12/2015,142.9
18/12/2015,141.9
17/12/2015,142.2
16/12/2015,136.55
15/12/2015,133.85
14/12/2015,134.35
11/12/2015,133.2
10/12/2015,135.3
9/12/2015,132.15
8/12/2015,135
7/12/2015,135.35
4/12/2015,133.65
3/12/2015,134.9
2/12/2015,136.2
1/12/2015,136.25
30/11/2015,137.55
27/11/2015,136.95
26/11/2015,134.95
24/11/2015,134.35
23/11/2015,132.95
20/11/2015,133.8
19/11/2015,130.9
18/11/2015,128.75
17/11/2015,132.5
16/11/2015,128.15
13/11/2015,128
11/11/2015,127.9
10/11/2015,125.7
9/11/2015,128.8
6/11/2015,125.85
5/11/2015,128
4/11/2015,131.75
3/11/2015,131.75
2/11/2015,132.65
30/10/2015,133.45
29/10/2015,135.9
28/10/2015,135.6
27/10/2015,135.8
26/10/2015,138.9
23/10/2015,137.8
21/10/2015,137.55
20/10/2015,139.4
19/10/2015,134.7
16/10/2015,134
15/10/2015,134.7
14/10/2015,134
13/10/2015,132.3
12/10/2015,134.55
9/10/2015,134.7
8/10/2015,133.35
7/10/2015,133.05
6/10/2015,130.55
5/10/2015,131.85
1/10/2015,130.05
30/9/2015,127.8
29/9/2015,126.6
28/9/2015,127.1
24/9/2015,124.2
23/9/2015,125
22/9/2015,123.9
21/9/2015,125.5
18/9/2015,125.45
16/9/2015,123.1
15/9/2015,125.4
14/9/2015,124.05
11/9/2015,123.25
10/9/2015,123.75
9/9/2015,123.65
8/9/2015,120.95
7/9/2015,120.45
4/9/2015,120.2
3/9/2015,124.15
2/9/2015,118.85
1/9/2015,115.2
31/8/2015,119.6
28/8/2015,118.15
27/8/2015,116.35
26/8/2015,117.3
25/8/2015,117.55
24/8/2015,114.85
21/8/2015,130.4
20/8/2015,132.9
19/8/2015,133.8
18/8/2015,134.15
17/8/2015,131
14/8/2015,132.1
13/8/2015,130
12/8/2015,133.05
11/8/2015,137.7
10/8/2015,138.95
7/8/2015,141.95
6/8/2015,143.75
5/8/2015,142.15
4/8/2015,143.3
3/8/2015,140.85
31/7/2015,140.2
30/7/2015,137.15
29/7/2015,138.65
28/7/2015,137.45
27/7/2015,137.55
24/7/2015,140.8
23/7/2015,140.85
22/7/2015,139.5
